Transaction.Output.ID,Transaction.Output.Address,Transactions.Output.Value
206,6047548,2.47032822920623e-314
768,2816186,2.47032822920623e-314
962,2831330,7.4109846876187e-314
1300,1804100,2.47032822920623e-314
3616,2825321,2.47032822920623e-314
4392,5713358,2.47032822920623e-314
5919,224191,2.47032822920623e-314
6616,2212865,2.47032822920623e-314
8380,4789524,2.47032822920623e-314
8688,2318182,2.47032822920623e-314
9362,3558932,2.47032822920623e-314
9682,5477601,2.47032822920623e-314
10881,5387993,2.47032822920623e-314
11057,128719,2.47032822920623e-314
11211,240284,2.47032822920623e-314
12489,4330912,2.47032822920623e-314
12505,1880446,2.47032822920623e-314
18337,76739,2.47032822920623e-314
18402,3233438,2.47032822920623e-314
18466,5407909,2.47032822920623e-314
19150,549342,2.47032822920623e-314
20888,2975578,2.47032822920623e-314
21084,4254730,2.47032822920623e-314
22742,4921001,2.47032822920623e-314
24435,5875573,2.47032822920623e-314
25431,796859,2.47032822920623e-314
26738,726230,2.47032822920623e-314
26801,214100,2.47032822920623e-314
27380,5642367,2.47032822920623e-314
27890,4051120,2.47032822920623e-314
28204,5281174,2.47032822920623e-314
29919,2850073,2.47032822920623e-314
31413,2073803,2.47032822920623e-314
32377,5100463,2.47032822920623e-314
34848,3228236,2.47032822920623e-314
37844,1106976,2.47032822920623e-314
38090,5449915,2.47032822920623e-314
42569,4816161,2.47032822920623e-314
42900,6412396,2.47032822920623e-314
43050,1927326,2.47032822920623e-314
46083,1783895,2.47032822920623e-314
46839,3175304,2.47032822920623e-314
47151,1119192,2.47032822920623e-314
49604,4277399,2.47032822920623e-314
51776,1323205,2.47032822920623e-314
52001,1405794,2.47032822920623e-314
52225,2217106,2.47032822920623e-314
52788,1147918,2.47032822920623e-314
53438,3790562,1.60571334898405e-315
55237,6462575,4.94065645841247e-318
58033,5640690,2.47032822920623e-314
58988,4535,2.47032822920623e-314
62437,6341628,2.47032822920623e-314
63068,1364871,2.47032822920623e-314
64145,2775099,2.47032822920623e-314
